ID	EnumType	Label	Summary	Sequence
1	PhotoType	F	Feature	1
2	PhotoType	T	Transect	2
3	PhotoType	O	Overview	3
4	PhotoType	R	Reference	4
5	PhotoType	OA	Animals	6
6	PhotoType	OP	Plants	7
7	PhotoType	OC	Cultural	8
8	PhotoType	OS	Scenic	9
9	PhotoType	OD	Disturbance	10
10	PhotoType	OW	Weather	11
11	PhotoType	OF	Fieldwork	12
12	PhotoType	OO	Other	5
13	DirectionFacing	US		1
14	DirectionFacing	DS		2
15	DirectionFacing	RR		3
16	DirectionFacing	RL		4
17	TransducerType	US		1
18	TransducerType	DS		2
19	TransducerType	Air		3
20	River	CAC	Colorado Above Confluence	1
21	River	CBC	Colorado Below Confluence	2
22	River	Green	Green	3
23	River	GAC	Green Above Confluence	4
24	River	GBC	Green Below Confluence	5
25	River	Gunnison	Gunnison	6
26	River	Yampa	Yampa	7
27	WentworthClassSize	S		1
28	WentworthClassSize	FG		2
29	WentworthClassSize	MG		3
30	WentworthClassSize	CG		4
31	WentworthClassSize	SP		5
32	WentworthClassSize	LP		6
33	WentworthClassSize	SC		7
34	WentworthClassSize	LC		8
35	WentworthClassSize	B		9
36	WentworthClassSize	BED		10
37	TaskType	Site		1
38	TaskType	Feature		2
39	TaskType	Photo		3
40	TaskType	Transect		4
41	TaskType	Plot		5
47	Status	Opened		6
48	Status	InProgress		1
49	Status	Completed		2
50	Status	Deferred		3
51	Priority	Critical		1
52	Priority	High		2
53	Priority	Medium		3
54	Priority	Low		4
55	SlopeChangeCause	Debris		1
56	SlopeChangeCause	Ground		2
57	SlopeChangeCause	Rock		3
58	SlopeChangeCause	Veg		4
59	SlopeChangeCause	Water		5
64	ModWentworthClassSize	F	Fines	1
65	ModWentworthClassSize	CL	Clay	2
66	ModWentworthClassSize	LC	Loam/Clay	3
67	ModWentworthClassSize	LO	Loam	4
68	ModWentworthClassSize	SA	Sand	5
69	ModWentworthClassSize	GR	Gravel	6
70	ModWentworthClassSize	PE	Pebble	7
71	ModWentworthClassSize	CO	Cobble	8
72	ModWentworthClassSize	BL	Boulder	9
73	ModWentworthClassSize	BR	Bedrock, Hardpan	10
74	Actions	Observe		1
75	Actions	DataEntry		3
76	Actions	Verify		7
77	Actions	Certify		8
78	Actions	Download		5
79	Actions	Upload		4
80	Actions	Change		6
81	Actions	Record		2
82	TaglineType	H	Headpin @ 0	1
83	TaglineType	WRS	Water @ River Stake	2
84	TaglineType	RS	River Stake (Total Length)	3
85	TaglineType	V	Slope Change - Vegetation	4
86	TaglineType	G	Slope Change - Ground	5
87	TaglineType	W	Slope Change - Water	6
88	TaglineType	R	Slope Change - Rock	7
89	TaglineType	D	Slope Change - Debris	8
90	PlantType	herb		1
91	PlantType	shrub		2
92	PlantType	tree		3
93	PlantType	grass		4
94	PlantType	sedge		5
95	PlantType	other		6
96	RegEx	PhotoNumRegex	^P([0-9]|[A-C])([0-2][0-9]|[3][0-1])(\\d){4}$	1
97	SyntaxType	T_SQL	T-SQL	1
98	SyntaxType	Jet_SQL	Jet SQL	2
99	SyntaxType	Text	Text	3
100	TransectNumber	T1		1
101	TransectNumber	T2		2
102	TransectNumber	T3		3
103	TransectNumber	T4		4
104	TransectNumber	T5		5
105	TransectNumber	T6		6
106	TransectNumber	T7		7
107	TransectNumber	T8		8
108	SlideOrientation	1C	1 photo - centered	1
109	SlideOrientation	2H	2 photos - horiz (side-by-side)	2
110	SlideOrientation	2V	2 photos - vert (top/bottom)	3
111	SlideOrientation	3H	3 photos - horiz (side-by-side)	4
