ID	Version	IsSupported	FieldCheck	FieldOK	Context	Syntax	TemplateName	DataScope	Params	Template	Remarks	Dependencies	EffectiveDate	RetireDate	CreateDate	CreatedBy_ID	LastModified	LastModifiedBy_ID
1	1	1	0		s_get_parks	SQL	s_get_parks			SELECT ParkCode FROM Park WHERE IsActiveForProtocol = 1;			5/18/2016					
2	1	1	0		s_park_list	SQL	s_park_list			SELECT ID, ParkCode FROM Park WHERE IsActiveForProtocol = 1 ORDER BY ParkCode ASC;			5/18/2016					
4	1	1	0		s_river_list	SQL	s_river_list			PARAMETERS pkcode TEXT(4);\nSELECT River.ID, Segment\nFROM River LEFT JOIN Park AS p ON p.ID = River.Park_ID\nWHERE ParkCode = [pkcode]\nORDER BY Segment;	Used to get river list for breadcrumb		5/19/2016					
5	1	1	0		s_site_list_active	SQL	s_site_list_active		ParkCode:string	PARAMETERS pkcode TEXT(4), seg TEXT(10);\nSELECT s.ID, SiteName + ' (' + SiteCode + ')' AS Site \nFROM ((Site s\nLEFT JOIN Park p ON p.ID = s.Park_ID)\nLEFT JOIN River r ON r.ID = s.River_ID)\nWHERE ParkCode = [pkcode]\nAND r.Segment = [seg]\nAND s.IsActiveForProtocol = 1 \nORDER BY SiteName ASC;	Used for breadcrumb		5/19/2016				9/22/2016	
6	1	1	0		s_feature_list	SQL	s_feature_list		pkcode:string	PARAMETERS pkcode TEXT(4);\nSELECT f.ID, f.Feature, loc.LocationName, f.Location_ID FROM ((((Feature f\nLEFT JOIN Location loc ON loc.ID = f.Location_ID)\nLEFT JOIN Site_Feature sf ON sf.Feature_ID = f.ID )\nLEFT JOIN Site s ON s.ID = sf.Site_ID )\nLEFT JOIN Park p ON p.ID = s.Park_ID )\nWHERE p.ParkCode = [pkcode]\nAND s.IsActiveForProtocol = 1 \nORDER BY f.Feature ASC;	Used to populate Feature list form		5/19/2016					
7	1	1	0		s_contact_list	SQL	s_contact_list			SELECT DISTINCT ID, FirstName + ' ' + LastName as Name FROM Contact;	Used in observer/recorder dropdowns		5/19/2016					
8	1	1	0		s_tagline	SQL	s_tagline		SourceType:string|SourceID:integer	SELECT * FROM Tagline \nWHERE LineDistanceSource = '[SourceType]' AND \nLineDistanceSource_ID = [SourceID];			5/19/2016					
9	1	1	0		s_vegwalk	SQL	s_vegwalk		strFamily:string|strSpecies:string	SELECT [strFamily] AS Family, [strSpecies] AS Species, LU_Code, \n1 AS SeqNum \nFROM tlu_NCPN_Plants \nWHERE Master_Family NOT IN ('','Unknown') \nUNION ALL \nSELECT [strFamily] AS Family, [strSpecies] AS Species, LU_Code, \n2 AS SeqNum \nFROM tlu_NCPN_Plants \nWHERE Master_Family = 'Unknown'\nORDER BY SeqNum ASC;			5/24/2016					
10	1	1	0		s_protocol_info	SQL	s_protocol_info		strWHERE:string	SELECT ProtocolName, Version, EffectiveDate, RetireDate, LastModified FROM Protocol \n[strWHERE];			5/25/2016					
12	1	1	0		s_get_river_segments	SQL	s_get_river_segments		ParkCode:string	SELECT Segment FROM River \nLEFT JOIN Park ON Park.ID = River.Park_ID \nWHERE ParkCode LIKE '[ParkCode]';			5/25/2016					
13	1	1	0		s_sop_metadata	SQL	s_sop_metadata		area:string	SELECT Code, SOPnumber, Version, EffectiveDate  FROM SOP \nWHERE LCASE(Code) = '[area]'\nAND RetireDate IS NULL;			5/26/2016					
14	1	1	0		s_transducer_bd	SQL	s_transducer_bd			SELECT 'BD' AS Timing, ParkCode, Segment, SiteCode, SiteName, \nLogger.ID, SensorType, SensorNumber, SamplingOrder \nFROM (((Logger \nLEFT JOIN Site ON Site.ID = Logger.Site_ID) \nLEFT JOIN River ON River.ID = Site.River_ID) \nLEFT JOIN Park ON Park.ID = River.Park_ID)			5/27/2016				2/16/2017	1
15	1	1	0		s_transducer_number	SQL	s_transducer_number			xx			5/29/2016					
17	1	1	0		s_form_edit	SQL	s_form_edit		tbl:string|id:long	SELECT * FROM [tbl] WHERE ID = [id];	used in populateform() for edits		6/1/2016					
18	1	1	0		d_form_record	SQL	d_form_record		tbl:string|id:long	DELETE t.* \nFROM [tbl] t \nWHERE t.ID \nIN (SELECT TOP 1 ID FROM [tbl] WHERE ID = [id]);	used in deleting records via list forms/subforms, limits deletion to 1 record only		6/1/2016					
